Year,Crop,basin_water_m3,basin_irrigated_area_ha,alluvial_water_m3,alluvial_irrigated_area_ha,alluvial_water_fraction,alluvial_area_fraction,basin_depth_m,alluvial_depth_m
2006,Corn,17555542.587713167,9046.5451885599,14381621.132246194,7324.203095356699,0.819206872153963,0.8096132769688429,0.1940579770707783,0.19635748688295743
2006,Golf Course/Turf/Sod,2503376.058939402,1040.8514717383998,294987.1814494846,95.5058115592,0.11783574441247191,0.0917573872472784,0.2405123235074392,0.30886830511526997
2006,Multi-Crop,13544518.683194583,7912.4136762944,11428529.93015535,6507.7498122182,0.8437752715668918,0.8224734042553191,0.17118061867485487,0.1756141563509166
2006,Other Crop,1249652.7844377477,759.5949504094,1051481.5924173663,624.0252602723999,0.8414189969499857,0.8215237080447522,0.16451567822616783,0.16849984437462884
2006,Soybeans,8790667.346468143,6090.114229467799,7784232.510758012,5262.5320911687995,0.8855109861352574,0.8641105721310386,0.1443432260093476,0.14791800555137607
2006,Unknown,166798013.20100382,0,140958899.98505667,0,0.845087404099897,NA,Inf,Inf
2007,Alfalfa,105277.67483467911,69.6059304584,103982.51890525426,64.74970275199999,0.9876977152899826,0.9302325581395348,0.15124813954983096,0.16059150001587064
2007,Corn,13623560.199344628,11030.1118638032,11555455.211238988,9301.2948003248,0.8481964363320296,0.843263868506017,0.12351243910818509,0.1242349098626083
2007,Golf Course/Turf/Sod,2298359.042720632,828.3915095834,268417.98266871145,94.2917546326,0.11678679339455056,0.11382510991695165,0.27744840647588026,0.28466750217405523
2007,Multi-Crop,7778657.172852297,6419.123656576399,6333078.1333385045,5067.473611628399,0.814160849695382,0.78943386710377,0.12117942555730414,0.12497505894862296
2007,Other Crop,916686.6972101756,766.4746063268,734883.8091740495,591.6504088964,0.8016739104108077,0.7719112988384372,0.11959779093050997,0.12420912723525729
2007,Sorghum,174044.28727795224,95.101125917,127134.97299602084,52.60913348599999,0.7304748405386252,0.553191489361702,0.18300970214574566,0.24165950771618996
2007,Soybeans,5796464.19473184,5112.596060733699,5026093.113091549,4216.6220489029,0.8670963787992603,0.8247516523528715,0.11337614248953594,0.1191971453642439
2007,Unknown,174709923.41676638,0,150387129.42371637,0,0.8607818404508795,NA,Inf,Inf
2007,Wheat,20019.410223395924,28.327994954,20019.410223395924,28.327994954,1,1,0.07067005714984118,0.07067005714984118
2008,Alfalfa,136386.08677762706,237.5504719714,136386.08677762706,237.5504719714,1,1,0.057413519596815336,0.057413519596815336
2008,Corn,7789573.487114592,8738.3770720246,6793820.604117622,7300.1242996458,0.8721684974608518,0.8354096234890938,0.08914210754365882,0.09306445103198113
2008,Golf Course/Turf/Sod,1651582.8412026004,839.3180219228,197369.42882597545,86.1980417886,0.11950319651072475,0.10270009643201543,0.19677676376100883,0.22897205636065654
2008,Multi-Crop,5429515.682879834,6319.166302953,4048657.435382159,4989.773968326,0.745675613047449,0.7896253602305475,0.08592139251569586,0.0811390948985296
2008,Other Crop,458127.48928351694,621.5971464191999,377174.0762852745,538.6365897682,0.8232950109043914,0.8665364583333334,0.07370167188228365,0.07002384974395999
2008,Sorghum,28653.783086228425,76.89027201799999,17293.415362415948,24.281138532,0.6035299182092122,0.31578947368421056,0.03726581052999862,0.07122160000703853
2008,Soybeans,4835569.508463962,6000.2740168994,3983097.8757165098,5045.6205869496,0.8237081214001113,0.8408983610979969,0.08058914467647445,0.0789416843196398
2008,Unknown,183381177.38654155,0,163696164.08930475,0,0.8926552137041656,NA,Inf,Inf
2009,Alfalfa,4329.521249791725,26.304566743,NA,NA,NA,NA,0.016459200001626595,NA
2009,Corn,3514966.848730482,7132.584443774999,2954781.0722082853,6006.3443015324,0.840628432463162,0.8420992907801419,0.04928040987721061,0.049194333922123495
2009,Golf Course/Turf/Sod,1219296.7964157036,851.4585911887999,145328.83009984644,128.2853485774,0.11919069296914518,0.15066539923954372,0.14320095058449417,0.11328560253485485
2009,Multi-Crop,2662976.273899673,5074.3532675458,1456199.3181350764,3961.0630658536,0.5468315029343511,0.7806045139165803,0.05247912657030313,0.03676284103346556
2009,Other Crop,422529.2034518961,339.935939448,348409.2798336668,279.233093118,0.8245803532331046,0.8214285714285714,0.12429671429799802,0.12477363479493955
2009,Sorghum,727.754284153025,2.0234282109999997,727.754284153025,2.0234282109999997,1,1,0.035966400003554416,0.035966400003554416
2009,Soybeans,1273755.019543426,3633.8747241349,1071587.3463693906,3101.7131046419,0.8412821381881566,0.8535553204521409,0.03505225458334046,0.034548241897862694
2009,Unknown,172456043.7291077,0,151541310.71392792,0,0.8787242675702776,NA,Inf,Inf
2010,Alfalfa,65769.2515780327,100.7667249078,64474.09564860782,93.4823833482,0.9803075768942235,0.9277108433734941,0.06526881928355868,0.06896924676006269
