Year,FIPS,County,Crop,Domain,GWuse_m3,SWuse_m3,n_pdiv,n_missing_irrArea,water_with_area_m3,irrArea_ha,waterUse_m3,area_data_water_fraction,applied_depth_m
2007,20005,Atchison,Soybeans,Non-alluvial,57702.28036047204,0,2,0,57702.28036047204,29.137392,57702.28036047204,1,0.1980351582614945
2007,20013,Brown,Golf Course/Turf/Sod,Non-alluvial,0,47760.4167498392,1,0,47760.4167498392,8.09372,47760.4167498392,1,0.5900922783323268
2007,20045,Douglas,Corn,Alluvial,609882.7597569858,0,11,0,609882.7597569858,505.8575,609882.7597569858,1,0.12056414301596513
2007,20045,Douglas,Golf Course/Turf/Sod,Non-alluvial,1665.200480689125,0,1,0,1665.200480689125,0.809372,1665.200480689125,1,0.20573981811690112
2007,20045,Douglas,Multi-Crop,Alluvial,430830.53621859074,0,7,0,430830.53621859074,220.958556,430830.53621859074,1,0.1949825089455195
2007,20045,Douglas,Other Crop,Alluvial,331695.6009348982,0,7,0,331695.6009348982,145.68696,331695.6009348982,1,0.22767693205685544
2007,20045,Douglas,Other Crop,Non-alluvial,148.01782050569997,0,1,0,148.01782050569997,2.428116,148.01782050569997,1,0.006095994610871143
2007,20045,Douglas,Soybeans,Alluvial,118414.25640455999,0,2,0,118414.25640455999,93.07778,118414.25640455999,1,0.12722075709644126
2007,20061,Geary,Corn,Alluvial,164694.4949493422,0,2,0,164694.4949493422,110.88396399999999,164694.4949493422,1,0.1485286862123203
2007,20061,Geary,Corn,Non-alluvial,429930.0944771811,98974.5826448114,8,0,528904.6771219925,375.548608,528904.6771219925,1,0.1408352117023404
2007,20061,Geary,Golf Course/Turf/Sod,Non-alluvial,160883.0360713204,0,1,0,160883.0360713204,44.51546,160883.0360713204,1,0.3614093532254197
2007,20061,Geary,Multi-Crop,Alluvial,169270.71256664343,0,2,0,169270.71256664343,91.05435,169270.71256664343,1,0.18590074232218826
